converted_training1.png,4,0.36,0.59,0.64,0.87
converted_training2.png,1,0.62,0.15,0.9,0.43
converted_training3.png,0,0.29,0.07,0.57,0.35
converted_training4.png,7,0.64,0.13,0.92,0.41
converted_training5.png,8,0.47,0.24,0.75,0.52
converted_training6.png,1,0.35,0.14,0.63,0.42
converted_training7.png,2,0.13,0.61,0.41,0.89
converted_training8.png,7,0.52,0.0,0.8,0.28
converted_training9.png,1,0.25,0.02,0.53,0.3
converted_training10.png,6,0.13,0.52,0.41,0.8
converted_training11.png,6,0.57,0.08,0.85,0.36
converted_training12.png,4,0.69,0.12,0.97,0.4
converted_training13.png,7,0.31,0.64,0.59,0.92
converted_training14.png,7,0.59,0.09,0.87,0.37
converted_training15.png,3,0.06,0.26,0.34,0.54
converted_training16.png,3,0.45,0.46,0.73,0.74
converted_training17.png,7,0.7,0.04,0.98,0.32
converted_training18.png,9,0.58,0.46,0.86,0.74
converted_training19.png,9,0.27,0.17,0.55,0.45
converted_training20.png,1,0.59,0.55,0.87,0.83
converted_training21.png,0,0.6,0.48,0.88,0.76
converted_training22.png,6,0.48,0.47,0.76,0.75
converted_training23.png,6,0.35,0.65,0.63,0.93
converted_training24.png,9,0.6,0.01,0.88,0.29
converted_training25.png,9,0.45,0.27,0.73,0.55
converted_training26.png,4,0.2,0.32,0.48,0.6
converted_training27.png,8,0.44,0.29,0.72,0.57
converted_training28.png,9,0.05,0.64,0.33,0.92
converted_training29.png,4,0.11,0.1,0.39,0.38
converted_training30.png,7,0.43,0.17,0.71,0.45
converted_training31.png,3,0.64,0.34,0.92,0.62
converted_training32.png,3,0.11,0.7,0.39,0.98
converted_training33.png,0,0.06,0.44,0.34,0.72
converted_training34.png,9,0.39,0.14,0.67,0.42
converted_training35.png,4,0.57,0.02,0.85,0.3
converted_training36.png,9,0.31,0.28,0.59,0.56
converted_training37.png,0,0.13,0.3,0.41,0.58
converted_training38.png,6,0.69,0.52,0.97,0.8
converted_training39.png,8,0.67,0.24,0.95,0.52
converted_training40.png,4,0.29,0.41,0.57,0.69
converted_training41.png,7,0.59,0.23,0.87,0.51
converted_training42.png,2,0.0,0.4,0.28,0.68
converted_training43.png,6,0.36,0.66,0.64,0.94
converted_training44.png,0,0.25,0.7,0.53,0.98
converted_training45.png,3,0.37,0.25,0.65,0.53
converted_training46.png,1,0.7,0.17,0.98,0.45
converted_training47.png,1,0.17,0.04,0.45,0.32
converted_training48.png,7,0.69,0.16,0.97,0.44
converted_training49.png,2,0.41,0.13,0.69,0.41
converted_training50.png,4,0.36,0.3,0.64,0.58
converted_training51.png,4,0.39,0.65,0.67,0.93
converted_training52.png,6,0.56,0.31,0.84,0.59
converted_training53.png,5,0.07,0.71,0.35,0.99
converted_training54.png,1,0.39,0.6,0.67,0.88
converted_training55.png,9,0.17,0.66,0.45,0.94
converted_training56.png,3,0.07,0.26,0.35,0.54
converted_training57.png,2,0.21,0.66,0.49,0.94
converted_training58.png,4,0.18,0.33,0.46,0.61
converted_training59.png,3,0.69,0.05,0.97,0.33
converted_training60.png,4,0.44,0.06,0.72,0.34
converted_training61.png,4,0.63,0.36,0.91,0.64
converted_training62.png,7,0.27,0.27,0.55,0.55
converted_training63.png,5,0.18,0.31,0.46,0.59
converted_training64.png,8,0.38,0.11,0.66,0.39
converted_training65.png,1,0.32,0.68,0.6,0.96
converted_training66.png,1,0.51,0.41,0.79,0.69
converted_training67.png,4,0.34,0.02,0.62,0.3
converted_training68.png,1,0.69,0.4,0.97,0.68
converted_training69.png,5,0.41,0.36,0.69,0.64
converted_training70.png,3,0.22,0.66,0.5,0.94
converted_training71.png,5,0.69,0.46,0.97,0.74
converted_training72.png,8,0.27,0.44,0.55,0.72
converted_training73.png,4,0.38,0.2,0.66,0.48
converted_training74.png,1,0.21,0.16,0.49,0.44
converted_training75.png,1,0.22,0.69,0.5,0.97
converted_training76.png,4,0.55,0.36,0.83,0.64
converted_training77.png,5,0.35,0.21,0.63,0.49
converted_training78.png,3,0.23,0.54,0.51,0.82
converted_training79.png,2,0.44,0.29,0.72,0.57
converted_training80.png,4,0.69,0.54,0.97,0.82
converted_training81.png,1,0.25,0.31,0.53,0.59
converted_training82.png,4,0.2,0.65,0.48,0.93
converted_training83.png,8,0.56,0.55,0.84,0.83
converted_training84.png,1,0.4,0.08,0.68,0.36
converted_training85.png,2,0.53,0.09,0.81,0.37
converted_training86.png,1,0.65,0.35,0.93,0.63
converted_training87.png,9,0.19,0.26,0.47,0.54
converted_training88.png,0,0.37,0.61,0.65,0.89
converted_training89.png,7,0.07,0.43,0.35,0.71
converted_training90.png,6,0.38,0.18,0.66,0.46
converted_training91.png,7,0.21,0.39,0.49,0.67
converted_training92.png,4,0.66,0.65,0.94,0.93
converted_training93.png,4,0.46,0.07,0.74,0.35
converted_training94.png,9,0.69,0.26,0.97,0.54
converted_training95.png,7,0.06,0.32,0.34,0.6
converted_training96.png,5,0.48,0.68,0.76,0.96
converted_training97.png,6,0.23,0.66,0.51,0.94
converted_training98.png,8,0.03,0.59,0.31,0.87
converted_training99.png,4,0.47,0.65,0.75,0.93
converted_training100.png,6,0.45,0.02,0.73,0.3
